Date,Product,Quantity,Revenue
2023-08-16,Product A,8,679.7884724389692
2023-10-01,Product B,17,1171.5520393612221
2023-02-26,Product D,1,79.8534300051899
2023-10-04,Product C,4,279.9705496408145
2023-01-27,Product A,4,304.4992970291572
2023-07-17,Product D,11,834.9721025467104
2023-03-04,Product C,9,529.4204846473419
2023-03-01,Product D,8,101.61028208379976
2023-04-13,Product A,12,1194.325585816742
2023-04-04,Product A,5,52.80870623388943
2023-05-06,Product A,4,68.92853812628128
2023-03-17,Product C,12,379.5310804846195
2023-04-03,Product A,4,214.32649619635956
2023-11-11,Product D,17,1482.7048222661576
2023-12-18,Product B,4,249.53677612843688
2023-06-07,Product A,17,1542.0502354056594
2023-12-08,Product D,15,639.5765627662038
2023-06-19,Product C,14,1280.5456680470188
2023-08-29,Product D,14,1114.8679471193743
2023-01-30,Product A,2,185.40901750538163
2023-01-25,Product A,18,1498.343551526745
2023-03-25,Product A,19,771.7970677537827
2023-12-22,Product B,18,1692.860612191242
2023-05-14,Product C,16,1154.4002037998007
2023-12-22,Product A,17,1207.770084765624
2023-01-29,Product C,1,62.01549362721589
2023-02-15,Product A,16,1423.2473797048783
2023-11-29,Product A,19,1805.148946412946
2023-08-09,Product A,15,830.5322323025606
2023-04-18,Product B,20,1111.1597234527703
2023-11-26,Product C,19,1381.3077256667282
2023-07-25,Product D,1,87.4439179599671
2023-02-24,Product B,1,91.81267456446787
2023-03-16,Product D,18,1226.931472292998
2023-05-25,Product C,4,107.53495518571155
2023-08-28,Product C,20,1454.7844612058313
2023-06-30,Product B,9,696.4098395980159
2023-03-13,Product B,12,822.0446905162851
2023-11-20,Product C,18,900.303308482519
2023-10-29,Product B,18,637.0493355487555
2023-12-12,Product D,7,481.82891701468463
2023-01-23,Product A,17,811.2015839495189
2023-01-03,Product A,14,308.4115221468694
2023-03-13,Product A,16,1541.8328449692397
2023-05-25,Product B,10,991.7950438214984
2023-10-20,Product D,13,1236.528791877114
2023-08-23,Product B,2,161.2453206555616
2023-12-15,Product A,8,226.2498678827236
2023-02-03,Product D,15,395.2835398662941
2023-09-16,Product B,10,868.2511780997129
2023-04-29,Product D,14,1014.39441327547
2023-12-17,Product C,13,760.0324623793095
2023-10-27,Product C,1,80.11813108567976
2023-10-01,Product D,13,1194.4898309409155
2023-10-07,Product D,7,491.38281742475675
2023-04-11,Product C,4,355.256750175533
2023-06-20,Product B,11,879.0318856652948
2023-10-20,Product D,5,349.38210832678294
2023-06-09,Product D,9,450.73870683603786
2023-07-27,Product C,8,680.4529374956925
2023-09-10,Product C,9,331.8503918540073
2023-08-13,Product C,4,357.8443579127253
2023-11-17,Product A,4,388.5181742546645
2023-06-05,Product C,18,1673.4649856113463
2023-04-07,Product D,18,1389.8488415817317
2023-12-29,Product C,8,532.1755930848991
2023-05-09,Product B,1,52.515427555969545
2023-04-23,Product A,7,472.84566029176295
2023-09-17,Product C,4,346.07072986341535
2023-12-17,Product B,2,115.5698645710198
2023-05-29,Product A,5,187.95369721336692
2023-10-04,Product D,18,861.6978722397236
2023-10-15,Product B,12,944.5518637011418
2023-06-19,Product B,9,546.5508013921522
2023-07-02,Product D,10,350.6194853951746
2023-05-24,Product D,19,1681.6107719917832
2023-05-23,Product D,14,330.06149693479165
2023-06-15,Product B,10,297.1128372390336
2023-03-15,Product B,5,220.38420641315037
2023-09-28,Product C,8,739.0440877169352
2023-03-31,Product D,17,618.0437123694795
2023-07-13,Product C,2,67.49395834016502
2023-04-07,Product A,16,1058.5701411650691
2023-11-18,Product B,15,565.2955830420609
2023-06-13,Product C,11,1020.6430919773211
2023-04-20,Product D,15,1091.6512333776245
2023-05-25,Product B,11,717.1251005814968
2023-06-02,Product A,2,111.22307073883968
2023-04-12,Product B,17,454.4412571228853
2023-04-30,Product B,10,956.5548151389804
2023-02-21,Product D,20,1648.5461293915387
2023-02-19,Product B,3,103.15888794584475
2023-06-10,Product B,4,125.35237032761961
2023-05-23,Product B,13,1135.0167487385957
2023-06-22,Product B,12,903.2196274414309
2023-07-15,Product C,2,191.36025481650478
2023-12-29,Product A,6,395.7899811454682
2023-12-24,Product D,19,906.3724667087648
2023-10-09,Product A,13,280.6168939599171
2023-02-08,Product B,18,913.3324501215243
2023-01-24,Product C,7,350.2592365378014
2023-11-07,Product C,14,1214.7544219146516
2023-12-27,Product D,16,1009.7832993391772
2023-10-25,Product D,19,1205.823524684148
2023-06-16,Product A,1,69.74384236839754
2023-12-18,Product A,7,341.89432509229175
2023-04-19,Product A,17,781.9317119223529
2023-11-13,Product A,9,836.4725402350366
2023-03-17,Product A,14,749.8781034896775
2023-06-12,Product C,4,173.90333271228417
2023-08-11,Product C,6,62.378406021477716
2023-05-22,Product A,14,789.5802235924344
2023-10-25,Product B,18,271.4872822166162
2023-10-21,Product A,9,215.739650751466
2023-05-10,Product D,9,348.26732498678007
2023-08-16,Product D,19,458.46431207713795
2023-10-19,Product B,18,1054.8110334128
2023-03-30,Product A,9,506.3685484307133
2023-09-18,Product D,1,60.784912908143404
2023-04-01,Product A,15,1190.5323646515064
2023-03-18,Product A,6,468.31969359749297
2023-08-12,Product C,4,350.65202365703317
2023-09-07,Product C,7,427.11611243531024
2023-12-06,Product B,5,68.51906701467009
2023-03-28,Product B,9,420.3673243515823
2023-06-09,Product D,10,108.10364987070179
2023-03-07,Product B,6,339.41685704968137
2023-09-01,Product B,8,500.670586078351
2023-08-30,Product A,5,273.5968243318632
2023-11-03,Product D,8,301.45330491248615
2023-10-30,Product A,5,337.4675039537556
2023-04-02,Product B,17,661.9034976336762
2023-08-31,Product B,7,418.3718496463352
2023-11-28,Product C,18,1087.862024491198
2023-11-27,Product C,13,1126.1261211815472
2023-06-24,Product A,11,236.99955593582143
2023-08-18,Product D,2,75.48284652533779
2023-09-16,Product C,20,954.0361885629612
2023-09-05,Product B,18,1681.9786032768106
2023-10-11,Product D,10,734.6487263081021
2023-07-22,Product D,18,1278.9881016231118
2023-11-12,Product D,14,288.02462519175157
2023-02-22,Product B,13,1117.7267964757123
2023-06-29,Product B,11,782.5444373233189
2023-05-25,Product D,14,857.8087166541163
2023-11-29,Product C,3,82.24188776578137
2023-12-28,Product B,20,1816.7664928298177
2023-03-23,Product C,17,1698.8443739857003
2023-08-03,Product D,12,671.315673905017
2023-10-04,Product A,1,21.953733976111288
2023-11-11,Product D,19,1888.0810490827635
2023-06-05,Product D,2,112.18642552090662
2023-01-05,Product C,18,1730.5294694112172
2023-07-11,Product C,14,554.1168046486209
2023-10-14,Product B,11,847.6589604744585
2023-02-28,Product A,17,1531.7071359474842
2023-04-14,Product A,13,563.5142229119416
2023-12-10,Product D,1,73.50657140972515
2023-02-23,Product B,12,690.5228728937449
2023-09-12,Product C,12,780.0324684105798
2023-01-18,Product D,17,470.76040639588257
2023-10-19,Product C,18,635.8313205830389
2023-04-03,Product C,9,681.6402307312879
2023-05-25,Product A,9,749.7304070444042
2023-07-16,Product D,1,80.24393295958178
2023-11-11,Product C,6,388.3091890721529
2023-05-17,Product C,15,425.4763941872712
2023-01-02,Product C,16,1029.7647480585524
2023-08-10,Product C,8,755.6742285152911
2023-08-09,Product A,7,248.8413905453997
2023-07-15,Product C,14,215.69791436540464
2023-10-20,Product C,6,229.49429511427854
2023-04-04,Product C,17,1087.0521599516169
2023-02-16,Product B,16,802.2522838133636
2023-09-16,Product D,13,210.2185412016852
2023-03-13,Product C,15,1162.9149536967673
